ID,Elevation,Slope,Ruggedness_Index,Forest_Age_Structure,Dis_Power_Lines,Dis_Log_Power_Lines,Dis_All_Roads,Dis_Log_All_Roads,Dis_All_Big_Roads,Dis_All_Log_Big_Roads,Dis_To_Mine,Dis_To_Log_Mine,Dis_Small_Roads,Dis_Log_Small_Roads,Broad_Leaved_Forest,Coniferous_Forest,Clear_Cut_Forest,Young_Forest,Mire,Lake,Flat_Areas,NE_Slop,SE_Slop,SW_Slop,NW_Slop,Pellet_Found_2009,Pellet_Found_2010
187,426,1.542363,2.87E-05,45,3448,8.145839613,212,5.361292166,1884,7.5416831,1612,7.385851078,212,5.361292166,0,0,0,0,1,0,0,0,0,0,1,1,0
188,428,2.263636,0.000436041,0,3400,8.131824785,291,5.676753802,1850,7.523481313,1664,7.417580402,291,5.676753802,0,0,0,0,1,0,0,0,0,1,0,1,0
189,436,7.84057,0.000304328,62,3354,8.118207049,380,5.942799375,1812,7.502738211,1720,7.450660796,380,5.942799375,0,1,0,0,0,0,0,0,0,1,0,0,0
190,448,5.867916,9.59E-05,69,3310,8.105005538,474,6.163314804,1773,7.480992163,1780,7.484930283,474,6.163314804,0,1,0,0,0,0,0,0,0,1,0,0,0
191,458,3.718994,0.000127157,69,3269,8.092545264,570,6.34738921,1739,7.461640392,1843,7.519692404,570,6.34738921,0,1,0,0,0,0,0,0,0,1,0,0,0
192,466,5.963654,0.000120481,69,3231,8.08085642,667,6.504288174,1710,7.444833274,1910,7.555381944,667,6.504288174,0,1,0,0,0,0,0,0,0,1,0,1,1
193,474,7.234153,0.000120587,69,3242,8.084254106,756,6.629363253,1735,7.459338895,2015,7.608870629,756,6.629363253,0,1,0,0,0,0,0,0,0,1,0,0,0
194,487,3.906236,0.002081871,67,3162,8.059276223,863,6.761572769,1668,7.419979924,2051,7.626570206,863,6.761572769,0,1,0,0,0,0,0,0,0,1,0,0,0
195,491,1.296867,0.001946237,62,3178,8.064321961,813,6.701960366,1706,7.442492723,2159,7.677863501,813,6.701960366,0,1,0,0,0,0,0,0,0,1,0,0,0
196,491,3.885299,0.00099712,67,3146,8.054204897,801,6.687108608,1700,7.438971592,2234,7.711996507,801,6.687108608,0,1,0,0,0,0,0,0,0,0,1,0,0
197,490,4.820669,0.00032372,60,3114,8.043984431,801,6.687108608,1700,7.438971592,2311,7.74586823,801,6.687108608,1,0,0,0,0,0,0,1,0,0,0,0,0
198,489,2.180705,0.000375324,60,3084,8.034306936,738,6.605297921,1700,7.438971592,2390,7.779466967,738,6.605297921,0,1,0,0,0,0,0,1,0,0,0,0,0
